Date,BAC,C,GS,JPM,MS,WFC
2020-01-02 14:30:00+00:00,35.3832,80.19,231.3,139.6619,51.25,53.68
2020-01-02 14:45:00+00:00,35.39,80.375,231.195,139.635,51.375,53.625
2020-01-02 15:00:00+00:00,35.35,80.365,231.31,139.6216,51.3787,53.59
2020-01-02 15:15:00+00:00,35.32,80.38,231.04,139.43,51.325,53.59
2020-01-02 15:30:00+00:00,35.3,80.395,231.09,139.55,51.33,53.69
2020-01-02 15:45:00+00:00,35.385,80.52,231.74,139.905,51.405,53.745
2020-01-02 16:00:00+00:00,35.4,80.53,231.96,140.06,51.49,53.825
2020-01-02 16:15:00+00:00,35.4346,80.69,232.715,140.135,51.63,53.8025
2020-01-02 16:30:00+00:00,35.4515,80.65,232.75,140.27,51.65,53.86
2020-01-02 16:45:00+00:00,35.5,80.85,233.94,140.48,51.81,53.915
2020-01-02 17:00:00+00:00,35.54,80.855,233.92,140.5147,51.77,53.96
2020-01-02 17:15:00+00:00,35.56,80.96,233.91,140.61,51.765,53.95
2020-01-02 17:30:00+00:00,35.595,81.09,234.2694,140.7266,51.795,53.89
2020-01-02 17:45:00+00:00,35.555,80.985,234.13,140.6,51.77,53.84
2020-01-02 18:00:00+00:00,35.545,80.91,233.97,140.355,51.735,53.8
2020-01-02 18:15:00+00:00,35.5541,80.845,234.03,140.3843,51.735,53.765
2020-01-02 18:30:00+00:00,35.55,80.845,234.21,140.365,51.82,53.76
2020-01-02 18:45:00+00:00,35.53,80.89,234.54,140.355,51.86,53.73
2020-01-02 19:00:00+00:00,35.515,80.89,233.84,140.542,51.855,53.745
2020-01-02 19:15:00+00:00,35.54,80.92,234.19,140.7379,51.88,53.8
2020-01-02 19:30:00+00:00,35.5901,81.0554,234.49,140.8746,51.985,53.795
2020-01-02 19:45:00+00:00,35.6,81.07,234.345,140.9746,51.935,53.76
2020-01-02 20:00:00+00:00,35.615,81.0,234.335,140.8677,51.937,53.735
2020-01-02 20:15:00+00:00,35.635,80.875,234.05,140.815,51.925,53.745
2020-01-02 20:30:00+00:00,35.6,81.02,234.02,140.8215,51.96,53.68
2020-01-02 20:45:00+00:00,35.65,81.26,234.36,141.09,52.06,53.77
2020-01-02 21:00:00+00:00,35.6102,81.05,234.32,140.28,52.04,53.7298
2020-01-03 14:30:00+00:00,34.985,79.885,230.78,138.11,51.04,53.03
2020-01-03 14:45:00+00:00,34.92,79.71,231.26,138.1253,51.02,53.15
2020-01-03 15:00:00+00:00,34.9399,79.83,230.87,138.015,50.98,53.0634
2020-01-03 15:15:00+00:00,35.0,79.795,231.05,138.24,50.98,53.09
2020-01-03 15:30:00+00:00,35.055,79.985,231.93,138.44,51.18,53.1
2020-01-03 15:45:00+00:00,34.945,79.78,231.57,138.3289,51.0654,53.095
2020-01-03 16:00:00+00:00,35.004,79.92,231.74,138.3802,51.245,53.2046
2020-01-03 16:15:00+00:00,35.0,79.9753,231.81,138.4888,51.255,53.2766
2020-01-03 16:30:00+00:00,35.0368,80.11,232.1,138.7599,51.36,53.37
2020-01-03 16:45:00+00:00,35.0351,80.2,232.205,138.7,51.335,53.33
2020-01-03 17:00:00+00:00,35.115,80.315,232.14,138.845,51.34,53.39
2020-01-03 17:15:00+00:00,35.09,80.38,232.05,138.965,51.34,53.465
2020-01-03 17:30:00+00:00,35.13,80.505,232.18,139.075,51.365,53.55
2020-01-03 17:45:00+00:00,35.1,80.41,232.13,139.17,51.34,53.5652
2020-01-03 18:00:00+00:00,35.065,80.33,231.99,139.06,51.24,53.52
2020-01-03 18:15:00+00:00,35.09,80.3543,231.91,139.07,51.215,53.595
2020-01-03 18:30:00+00:00,34.985,80.125,231.34,138.74,51.12,53.455
2020-01-03 18:45:00+00:00,34.98,80.08,231.31,138.765,51.17,53.5
2020-01-03 19:00:00+00:00,34.915,79.96,230.91,138.6315,51.03,53.395
2020-01-03 19:15:00+00:00,34.925,79.9,231.135,138.58,51.09,53.395
2020-01-03 19:30:00+00:00,34.95,79.975,231.12,138.76,51.09,53.475
2020-01-03 19:45:00+00:00,34.94,80.01,231.11,138.735,51.12,53.475
2020-01-03 20:00:00+00:00,34.96,79.995,231.38,138.665,51.195,53.49
